Symbol,Date,Open,High,Low,Close,Volume
AMZN,2025-05-01,190.63,191.8071,187.5,190.2,74265963
AMZN,2025-04-30,182.17,185.05,178.85,184.42,55176543
AMZN,2025-04-29,183.99,188.0158,183.68,187.39,41667255
AMZN,2025-04-28,190.105,190.22,184.885,187.7,33224732
AMZN,2025-04-25,187.62,189.94,185.49,188.99,36414330
AMZN,2025-04-24,180.915,186.74,180.18,186.54,43763196
AMZN,2025-04-23,183.45,187.38,180.19,180.6,63470149
AMZN,2025-04-22,169.845,176.78,169.35,173.18,56607202
AMZN,2025-04-21,169.6,169.6,165.285,167.32,48126111
AMZN,2025-04-17,176.0,176.21,172.0,172.61,44726453
AMZN,2025-04-16,176.29,179.1046,171.41,174.33,51875316
AMZN,2025-04-15,181.41,182.35,177.9331,179.59,43641952
AMZN,2025-04-14,186.84,187.44,179.23,182.12,48002540
TSLA,2025-09-05,348.0,355.87,344.6801,350.84,108989785
TSLA,2025-09-04,336.15,338.89,331.48,338.53,60711033
TSLA,2025-09-03,335.2,343.33,328.51,334.09,88238894
TSLA,2025-09-02,328.23,333.33,325.6,329.36,58391952
TSLA,2025-08-29,347.23,348.7499,331.7,333.87,81145660
TSLA,2025-08-28,350.91,353.55,340.26,345.98,67903224
TSLA,2025-08-27,351.94,355.39,349.156,349.6,65519012
TSLA,2025-08-26,344.93,351.9,343.72,351.67,76651550
TSLA,2025-08-25,338.9,349.53,335.03,346.6,86670037
TSLA,2025-08-22,321.66,340.25,319.69,340.01,94016347
TSLA,2025-08-21,322.08,324.9,318.68,320.11,55744445
TSLA,2025-08-20,329.22,331.37,314.6,323.9,77481768
TSLA,2025-08-19,335.79,340.55,327.85,329.31,75956002
TSLA,2025-08-18,329.62,336.27,329.59,335.16,56956552
TSLA,2025-08-15,337.655,339.3,327.02,330.56,74319792
TSLA,2025-08-14,335.76,340.4699,330.4,335.58,75000662
TSLA,2025-08-13,341.5,348.98,338.2,339.38,67838892
TSLA,2025-08-12,345.0,345.26,332.94,340.84,80690111
TSLA,2025-08-11,335.0,346.64,334.15,339.03,105320174
TSLA,2025-08-08,321.43,335.15,320.98,329.65,91200319
TSLA,2025-08-07,319.79,322.4,316.16,322.27,66658672
TSLA,2025-08-06,307.89,320.47,306.9345,319.91,78523579
TSLA,2025-08-05,308.95,312.4499,305.5,308.72,57961278
TSLA,2025-08-04,309.08,312.1186,303.0001,309.26,78683905
TSLA,2025-08-01,306.205,309.31,297.82,302.63,89121446
TSLA,2025-07-31,319.605,321.37,306.1,308.27,85270919
